Name,Date Established,State,City,Type of Society,Society,Cesation of Society,Publication,First Publication Year,,url
Pittsburgh Chemical and Physiological Society,1813,PA,Pittsburg,,,1814,,,,
Delaware Chemical and geological Society,1821,NY,Delhi,,,,,,,
Boston Society of Civil Engineers,1848,MA,Boston,,,,,,,
Franklin Institute,1824,PA,Philadelphia,,,,,,,
Maryland Institute for the Promotion of the Mechanic Arts,1852,MD,,,,,,,,
Middlesex Mechanics' Association,1852,MA,Lowell,,,,,,,
Mechanics Institute of Chicago,1837,OH,Chicago,,,,,,,
American Mineralogical Society,1798,NY,NY,,,,,,,
American Geological Society,1819,CT,New Haven,,,,,,,
Association of American Geologists and Naturalists,1840,PA,,,,,,,,
Geological Society of Pennsylvania,1832,PA,,,,,,,,
Iowa Historical and Geological Institute,1843,IA,,,,,,,,
Mississippi State Geological Society,1850,MS,,,,,,,,
Wyoming Historical and Geological Society,1858,PA,WilkesBarre,,,,,,,
American Geographical and Statistical Society,1851,NY,,,,1871,Journal,1851,,
American Geographical Society of New York,1871,NY,,,,,,,,
Philadelphia Society for Promoting Agriculture,1785,PA,Philadelphia,,,,,,,
South Carolina Agricultural Society,1785,SC,,,,,,,,
"Society Instituted in the State of New York for the Promotion of Agriculture, Arts, and Manufactures",1791,NY,,,,,,,,
Massachusetts Society for Promoting Agriculture,1792,MA,,,,,Agrcultural Repository,1794ish,,
Western Society of Middlesex Husbandmen,1794,MA,,,,,,,,
Kennebec Agricultural Society,1800,ME,,,,,,,,
Berkshire Agricultural Society,1811,MA,Pittsfield,,,,,,,
Pennsylvania Agricultural Society,1823,PA,,,,,,,,
New York State Agricultural Society,1832,NY,,,,,,,,
Louisiana State Fair Association,1841,LA,,,,,,,,
Kentucky Agricultural Society,1850,KY,,,,,,,,
Virginia State Agricultural Society,1850,VA,,,,,,,,
Wisconsin State Agricultural Society,1851,WI,,,,,,,,
Connecticut State Agricultural Society,1852,CT,,,,,,,,
Illinois State Agricultural Society,1853,IL,,,,,,,,
California State Agricultural Society,1854,CA,,,,,,,,
Indiana State Agricultural Society,1857,IND,,,,,,,,
New Jersey State Agricultural Society,1865,NJ,,,,,,,,
New England Agricultural Society,1864,MA,,,,,,,,
Columbian Agricultural Society,1809,DC,,,,1812,,,,
United States Agricultural Society,1852,DC,,,,,,,,
Pennsylvania Horticultural Society,1827,MA,,,,,,,,
Kentucky Horticultural Society,1840,KY,,,,,,,,
Rhode Island Horticultural Society,1845,RI,,,,,,,,
Delware Horitcultural Society,1847,DE,,,,,,,,
Illinois State Horitcultural Society,1856,IL,,,,,,,,
Missouri State Horticultural Society,1859,MO,,,,,,,,
Indiana Horticultural Society,1860,IND,,,,,,,,
Wisconsin State Horitcultural Society,1865,WI,,,,,,,,
National Pomological Society,1848,MA,,,,,,,,
Charleston Botanic Garden and Society,1805,SC,Charleston,,,,,,,
Linnaean Society of Philadelphia,1806,PA,Philadelphia,,,,,,,
Linnaean Society of New England,1814,MA,,,,,,,,
Washington Botanical Society,1817,DC,Washington,,,1825,,,,
Botanic Club of Washington,1825,DC,Washington,,,,,,,
"Botanical Society of Wilmington, Delaware",1842,DE,Wilmington,,,,,,,
Linnaean Association of Pennsylvania College,1844,PA,Gettysburg,,,,,,,
Torrey Botanical Club,1858,NY,New York,,,,,,,
"Linnaean Society of Lancaster, Pennsylvania",1862,PA,Lancaster,,,,,,,
East India Marine Society,1799,MA,Salem,,,,,,,
Entomological Society of Pennsylvania,1842,PA,York,,,,,,,
Entomological Society of Philadelphia,1859,PA,Philadelphia,,,1867,,,,
American Entomological Society,1867,PA,Philadelphia,,,,,,,
American Ethnological Society,1842,DC,,,,,,,,
American Antiquarian Society,1812,MA,Worcester,,,,,,,
New Hampshire Medical Society,1791,NH,,,,,,,,
Rhode Island Medical Society,1811,RI,,,,,,,,
Vermont State Medical Society,1813,VT,,,,,,,,
Vermont Medical Association,1852,VT,,,,,,,,
Medical Society of the State of New York,1807,NY,,,,,,,,
Medical Society of the State of Pennsylvania,1848,PA,,,,,,,,
Medical Society of the Eastern District of New Jersey,1790,NJ,,,,,,,,
Academy of Medicine of Philadelphia,1797,PA,Philadelphia,,,,,,,
"Medical Society of the County of Albany, New York",1806,NY,Albany,,,,,,,
Physico-Medical Society of New York,1815,NY,,,,,,,,
"Medical Society of the County of Kings, New York",1822,NY,,,,,,,,
New York Pathological Society,1844,NY,,,,,,,,
New York Academy of Medicine,1847,NY,,,,,,,,
Pathological Society of Philadelphia,1857,PA,Philadelphia,,,,,,,
Michigan State Medical Society,1820,MI,,,,,,,,
State Medical Society of Wisconsin,1841,WI,,,,,,,,
Ohio State Medical Society,1846,OH,,,,,,,,
Indiana State Medical Association,1849,IND,,,,,,,,
Chicago Medical Society,1850,OH,,,,,,,,
Iowa State Medical Society,1850,IA,,,,,,,,
Missouri State Medical Association,1850,MO,,,,,,,,
Kansas Medical Society,1859,KS,,,,,,,,
Medical and Chirurgical Faculty of the State of Maryland,1799,MD,,,,,,,,
Medical Society of Virginia,1821,VA,,,,,,,,
South Carolina Medical Association,1848,SC,,,,,,,,
Georgia Medical Association,1849,GA,,,,,,,,
Medical Society of the District of Columbia,1819,DC,,,,,,,,
Medical Assocation of the State of Alabama,1847,AL,,,,,,,,
Kentucky State Medical Society,1851,KY,,,,,,,,
Mississippi State Medical Association,1858,MS,,,,,,,,
State Medical Association of texas,1853,TX,,,,,,,,
Societe Medicale de la Nouvelle Orleans,1812,LA,,,,,,,,
Calafornia Medical Association,1856,CA,,,,,,,,
Academy of Natural Sciences,1812,PA,Philadelphia,,,,,,,
Boston Society of Natural History,1830,MA,Boston,,,,,,,
National Institution for the Promotion of Science,1840,DC,Washinton,,,1842,,,,
National Institute,1842,DC,Washington,,,,,,,
Smithsonian Institution,1845,DC,Washinton,,,,"Annual Reports, Smithsonian Contributions to Knowledge, Smithsonian Miscellaneous Collections",,,
American Association for the Advancement of Science,1848,PA,Philadelphia,,,,Proceedings,,,
National Academy of Sciences,1863,NY,New York,,,,,,,
